Generation;Generation max fitness;Generation min fitness;Generation average fitness;Global max fitness
9390;8955;8860;8950.166666666666;8955
9400;8955;8843;8942.266666666666;8955
9410;8955;8853;8948.433333333332;8955
9420;8956;8895;8953.433333333332;8956
9430;8956;8833;8951.9;8956
9440;8956;8843;8945.766666666666;8956
9450;8956;8833;8949.633333333333;8956
9460;8956;8857;8950.333333333334;8956
9470;8961;8827;8939.7;8961
9480;8961;8823;8950.666666666666;8961
9490;8962;8878;8957.4;8962
9500;8962;8769;8945.366666666667;8962
9510;8962;8824;8953.933333333332;8962
9520;8962;8882;8957.766666666666;8962
9530;8962;8848;8946.066666666668;8962
9540;8962;8755;8944.666666666666;8962
9550;8962;8834;8951.1;8962
9560;8962;8860;8955.933333333332;8962
9570;8962;8835;8949.8;8962
9580;8962;8947;8961.5;8962
9590;8962;8800;8952.866666666667;8962
9600;8962;8845;8957.6;8962
9610;8962;8927;8957.6;8962
9620;8962;8917;8960.4;8962
9630;8962;8883;8954.066666666668;8962
9640;8962;8839;8945.566666666668;8962
9650;8964;8882;8950.666666666666;8964
9660;8964;8862;8953.433333333332;8964
9670;8964;8928;8959.866666666667;8964
9680;8964;8964;8964.0;8964
9690;8964;8850;8956.966666666667;8964
9700;8964;8910;8959.9;8964
9710;8964;8946;8962.733333333334;8964
9720;8964;8869;8958.633333333333;8964
9730;8964;8811;8950.0;8964
9740;8964;8845;8956.033333333333;8964
9750;8964;8747;8925.4;8964
9760;8964;8806;8930.633333333333;8964
9770;8964;8861;8955.966666666667;8964
9780;8964;8854;8957.233333333334;8964
9790;8971;8868;8960.166666666666;8971
9800;8971;8817;8954.2;8971
9810;8971;8761;8960.266666666666;8971
9820;8971;8771;8953.433333333332;8971
9830;8971;8873;8961.5;8971
9840;8971;8860;8963.566666666668;8971
9850;8971;8952;8970.366666666667;8971
9860;8971;8920;8966.333333333334;8971
9870;8971;8865;8951.533333333333;8971
9880;8971;8771;8939.233333333334;8971
9890;8971;8788;8945.233333333334;8971
9900;8971;8819;8959.466666666667;8971
9910;8971;8768;8959.966666666667;8971
9920;8971;8815;8956.133333333333;8971
9930;8971;8481;8932.333333333334;8971
9940;8971;8745;8948.266666666666;8971
9950;8973;8779;8949.066666666668;8973
9960;8973;8827;8957.466666666667;8973
9970;8973;8887;8965.533333333333;8973
9980;8974;8814;8962.933333333332;8974
9990;8974;8864;8957.233333333334;8974
10000;8974;8902;8964.5;8974
10010;8975;8917;8969.033333333333;8975
10020;8975;8841;8961.933333333332;8975
10030;8975;8811;8964.533333333333;8975
10040;8975;8975;8975.0;8975
10050;8975;8884;8963.7;8975
10060;8975;8824;8965.866666666667;8975
10070;8975;8918;8970.966666666667;8975
10080;8975;8927;8970.266666666666;8975
